"","document","topic","gamma"
"1","1412",1,0.0025876015169911
"2","1447",1,0.00304678128687831
"3","439",1,0.00519980825695249
"4","1275",1,0.00323833279344371
"5","984",1,0.00287662525295017
"6","795",1,0.00215463534758472
"7","1130",1,0.354263259371091
"8","208",1,0.00323833280327081
"9","1004",1,0.00370408538292775
"10","700",1,0.00432631710347079
"11","1100",1,0.00472301566172355
"12","1431",1,0.00399109458573402
"13","390",1,0.0027244696165865
"14","705",1,0.00287662524235072
"15","1436",1,0.00323833279344371
"16","1494",1,0.00399109459490953
"17","181",1,0.00399109458573402
"18","722",1,0.00272446960363122
"19","849",1,0.00235135351924551
"20","1376",1,0.0037040853818534
"21","212",1,0.00246382729751561
"22","1504",1,0.00472301558879561
"23","1438",1,0.00304678128687831
"24","128",1,0.00370408543165966
"25","777",1,0.00399109458573402
"26","590",1,0.00345558598062499
"27","1372",1,0.00432631712742873
"28","674",1,0.00224870035696854
"29","1262",1,0.0043263171034858
"30","1114",1,0.147528891835237
"31","1222",1,0.00345558589497037
"32","584",1,0.00272446959789722
"33","1029",1,0.00872163560675464
"34","10",1,0.00651524865397656
"35","1252",1,0.00287662524235072
"36","15",1,0.00399109458573402
"37","314",1,0.00432631710346651
"38","1363",1,0.00304678138514961
"39","916",1,0.00651524841624923
"40","569",1,0.00472301558880029
"41","651",1,0.00287662524235072
"42","59",1,0.00304678128687831
"43","1461",1,0.0025876015169911
"44","644",1,0.00224870036775212
"45","1433",1,0.00215463533082405
"46","1327",1,0.152264362624999
"47","953",1,0.00172235099216734
"48","1452",1,0.00191439328934246
"49","920",1,0.00578367536021911
"50","497",1,0.00399109461739744
"51","517",1,0.00345558589497037
"52","592",1,0.00198829152700215
"53","1165",1,0.00578367536021911
"54","61",1,0.00432631710346651
"55","1111",1,0.00399109465500098
"56","1002",1,0.00304678130494448
"57","256",1,0.0024638272275037
"58","387",1,0.00651524841624923
"59","760",1,0.00287662524235072
"60","997",1,0.00472301558881849
"61","1457",1,0.00323833279344371
"62","1122",1,0.0705435337323624
"63","833",1,0.00345558589497037
"64","1507",1,0.0025876015169911
"65","282",1,0.00472301558879561
"66","400",1,0.00272446959789725
"67","1218",1,0.00304678128687831
"68","1017",1,0.00399109458573402
"69","355",1,0.003238332805946
"70","66",1,0.00345558589497038
"71","207",1,0.00399109466089654
"72","319",1,0.0017819359551245
"73","702",1,0.0557916464998481
"74","292",1,0.00399109458573402
"75","1049",1,0.00304678130892037
"76","16",1,0.00304678133404882
"77","549",1,0.00345558589497037
"78","750",1,0.00345558589497037
"79","7",1,0.0037040853818534
"80","845",1,0.0037040853818534
"81","231",1,0.00345558589497038
"82","523",1,0.0037040854688664
"83","938",1,0.00519980820210755
"84","1128",1,0.728898078730161
"85","817",1,0.00519980820210755
"86","341",1,0.00246382722861726
"87","133",1,0.0025876015169911
"88","127",1,0.00304678130154738
"89","442",1,0.00304678132241638
"90","965",1,0.00578367536021911
"91","4",1,0.00432631710346651
"92","304",1,0.088318943820568
"93","1350",1,0.00432631710346651
"94","1338",1,0.507090909144032
"95","1056",1,0.00272446959789722
"96","481",1,0.00304678135669344
"97","741",1,0.00304678131754723
"98","1068",1,0.00323833296097243
"99","889",1,0.00258760154945585
"100","899",1,0.00578367536021911
"101","1505",1,0.00272446959789722
"102","313",1,0.385983152082428
"103","558",1,0.133144014444012
"104","1353",1,0.00323833279344371
"105","1383",1,0.0037040853818534
"106","1541",1,0.0023513535192455
"107","1046",1,0.00304678128687831
"108","765",1,0.00287662524543661
