"","document","term","count",".topic"
"1","1412","fokussier",1,25
"2","1412","handlungsnah",2,25
"3","1412","indikator",1,19
"4","1412","kompetenzerleb",1,12
"5","1412","latent",1,14
"6","1412","lernrelevant",1,24
"7","1412","nimmt",1,19
"8","1412","profil",2,37
"9","1412","typ",1,21
"10","1412","uberzeug",2,14
"11","1412","unterrichtsangebot",1,37
"12","1412","unterrichtshandeln",1,24
"13","1412","unterrichtsqualitat",3,24
"14","1447","beforsch",1,25
"15","1447","forschend",1,25
"16","1447","kontakt",1,25
"17","1447","labor",2,6
"18","1447","lernort",1,8
"19","1447","reflexion",1,24
"20","1447","schulerexperiment",1,6
"21","1447","schulerlabor",2,8
"22","1447","sek",1,16
"23","1447","sfb",2,25
"24","1447","sonderforschungsbereich",1,25
"25","1447","wissenschaftskommunikation",1,25
"26","439","biolog",1,4
"27","439","dokumentation",1,16
"28","439","gerat",1,16
"29","439","klassenzimm",1,16
"30","439","materiali",2,16
"31","439","praktikum",1,4
"32","439","wass",1,4
"33","1275","analogi",1,6
"34","1275","druck",2,11
"35","1275","elektr",2,26
"36","1275","elektrizitatslehr",1,26
"37","1275","hoch",1,31
"38","1275","kontextorientier",2,31
"39","1275","kontextorientiert",1,11
"40","1275","motiviert",1,21
"41","1275","pck",1,6
"42","1275","traditionell",2,26
"43","984","analyt",3,35
"44","984","assessment",1,36
"45","984","computerbasiert",1,32
"46","984","pisa",1,35
"47","984","pradiktor",1,30
"48","984","problemaufgab",1,32
"49","984","problemlos",3,32
"50","984","problemloseaufgab",1,32
"51","984","problemsituation",1,35
"52","984","prototyp",1,32
"53","984","real",1,10
"54","984","stehend",1,32
"55","795","chemielehrkraft",1,37
"56","795","erlangt",1,24
"57","795","gehalt",2,24
"58","795","handlung",1,10
"59","795","hilfreich",1,24
"60","795","kodiermanual",1,24
"61","795","prompt",1,10
"62","795","protokoll",1,4
"63","795","reflexion",2,24
"64","795","reflexionskompetenz",4,24
"65","795","schulertag",1,24
"66","795","seminar",1,6
"67","795","starkung",1,24
"68","795","stund",1,24
"69","795","unterrichtsqualitat",1,24
