"","topic","term","beta"
"1",1,"fokussier",3.41807380983737e-264
"2",2,"fokussier",1.63509379720535e-259
"3",3,"fokussier",2.85895058810238e-262
"4",4,"fokussier",7.12605365276227e-269
"5",5,"fokussier",7.86368606569263e-266
"6",6,"fokussier",1.13721101530271e-270
"7",7,"fokussier",5.23848592324889e-268
"8",8,"fokussier",7.34839086415817e-275
"9",9,"fokussier",6.55780419710907e-57
"10",10,"fokussier",4.77464563682525e-267
"11",11,"fokussier",9.7536676264638e-265
"12",12,"fokussier",8.94026900239774e-48
"13",13,"fokussier",4.05675619295633e-270
"14",14,"fokussier",5.58702990861895e-15
"15",15,"fokussier",5.4798273928369e-265
"16",16,"fokussier",1.57667180288124e-269
"17",17,"fokussier",4.01278457418668e-269
"18",18,"fokussier",2.31556873119732e-264
"19",19,"fokussier",2.00421226842859e-23
"20",20,"fokussier",2.98567660790699e-238
"21",21,"fokussier",2.76266301280853e-43
"22",22,"fokussier",1.45798910349253e-261
"23",23,"fokussier",4.53591005578706e-271
"24",24,"fokussier",7.25746264062709e-08
"25",25,"fokussier",0.00415889917135715
"26",26,"fokussier",0.00259815419824214
"27",27,"fokussier",7.51668085423558e-265
"28",28,"fokussier",4.99066051394948e-275
"29",29,"fokussier",4.53806250250929e-22
"30",30,"fokussier",1.57423865846869e-268
"31",31,"fokussier",4.15399588061552e-261
"32",32,"fokussier",3.15985339886124e-52
"33",33,"fokussier",6.10552367097479e-266
"34",34,"fokussier",4.79603644284695e-258
"35",35,"fokussier",8.49127384160178e-269
"36",36,"fokussier",0.00228691617667636
"37",37,"fokussier",1.13198643274853e-15
"38",1,"handlungsnah",3.90681579005284e-274
"39",2,"handlungsnah",2.63283797245003e-271
"40",3,"handlungsnah",1.41184420903971e-270
"41",4,"handlungsnah",8.18689213286247e-281
"42",5,"handlungsnah",1.43357781264109e-277
"43",6,"handlungsnah",3.4559411974668e-282
"44",7,"handlungsnah",2.00479743160646e-66
"45",8,"handlungsnah",4.16610707613369e-285
"46",9,"handlungsnah",3.47279950535644e-264
"47",10,"handlungsnah",5.77757195555069e-71
"48",11,"handlungsnah",2.24045303009252e-273
"49",12,"handlungsnah",1.21586899862575e-49
"50",13,"handlungsnah",1.70307154478213e-280
"51",14,"handlungsnah",2.03424602995136e-21
"52",15,"handlungsnah",4.09927398478126e-74
"53",16,"handlungsnah",5.48850728395982e-281
"54",17,"handlungsnah",9.86755171784754e-280
"55",18,"handlungsnah",9.4611511305549e-69
"56",19,"handlungsnah",2.42459443985782e-38
"57",20,"handlungsnah",0.00223056568405246
"58",21,"handlungsnah",1.51601864896122e-54
"59",22,"handlungsnah",2.35675704145117e-42
"60",23,"handlungsnah",2.77619302345498e-280
"61",24,"handlungsnah",1.15967161077107e-17
"62",25,"handlungsnah",0.0124769011212293
"63",26,"handlungsnah",2.46465895881521e-273
"64",27,"handlungsnah",0.0028056386031948
"65",28,"handlungsnah",4.71729769515796e-286
"66",29,"handlungsnah",2.64334725612416e-276
"67",30,"handlungsnah",2.10838496270195e-85
"68",31,"handlungsnah",3.70015885582578e-273
"69",32,"handlungsnah",2.00750253384704e-32
"70",33,"handlungsnah",8.15064794628247e-276
"71",34,"handlungsnah",9.34205865481846e-278
"72",35,"handlungsnah",1.20144887563885e-279
"73",36,"handlungsnah",7.53665264391517e-200
"74",37,"handlungsnah",7.53802836991477e-24
"75",1,"indikator",1.6880194888169e-263
"76",2,"indikator",2.16672833659775e-260
"77",3,"indikator",1.89517321915062e-258
"78",4,"indikator",5.53052562381252e-270
"79",5,"indikator",5.89973631839298e-266
"80",6,"indikator",2.74025633402084e-271
"81",7,"indikator",4.37755787425541e-78
"82",8,"indikator",1.55449069207612e-274
"83",9,"indikator",3.52148790225172e-265
"84",10,"indikator",7.05367936170159e-75
"85",11,"indikator",1.53668932644283e-262
"86",12,"indikator",2.55582139749382e-45
"87",13,"indikator",2.82920555722436e-269
"88",14,"indikator",1.02971102826141e-12
"89",15,"indikator",1.21372180804349e-265
"90",16,"indikator",5.56655811275285e-129
"91",17,"indikator",1.42796282069073e-39
"92",18,"indikator",7.26611880145124e-36
"93",19,"indikator",0.00482402205781502
"94",20,"indikator",4.76951265130491e-271
"95",21,"indikator",6.38077771023251e-40
"96",22,"indikator",0.00287013129792863
"97",23,"indikator",7.31098185478169e-271
"98",24,"indikator",8.0375652136114e-06
"99",25,"indikator",6.79455282279551e-20
"100",26,"indikator",0.00259815419702739
"101",27,"indikator",2.88267258650807e-258
"102",28,"indikator",1.21590685158514e-274
"103",29,"indikator",6.08901310091508e-264
"104",30,"indikator",0.00466674978456803
"105",31,"indikator",0.00331820226281813
"106",32,"indikator",6.88670482275259e-75
"107",33,"indikator",2.41731264884024e-265
"108",34,"indikator",7.26914266668212e-270
"109",35,"indikator",3.11994218728402e-269
"110",36,"indikator",2.06576193552973e-187
"111",37,"indikator",3.24519536525159e-16
"112",1,"kompetenzerleb",1.876173495109e-242
"113",2,"kompetenzerleb",1.20970011070214e-255
"114",3,"kompetenzerleb",1.37155347177723e-18
"115",4,"kompetenzerleb",9.12990908928891e-55
"116",5,"kompetenzerleb",9.09785017541159e-261
"117",6,"kompetenzerleb",8.41199946908296e-16
"118",7,"kompetenzerleb",3.99119883344157e-29
"119",8,"kompetenzerleb",8.70510574912575e-41
"120",9,"kompetenzerleb",3.32850659700173e-261
"121",10,"kompetenzerleb",5.06374489489638e-74
"122",11,"kompetenzerleb",6.99273709296014e-67
"123",12,"kompetenzerleb",0.0177332682834981
"124",13,"kompetenzerleb",1.895082019539e-265
"125",14,"kompetenzerleb",8.00860834627437e-28
"126",15,"kompetenzerleb",2.09773661581785e-259
"127",16,"kompetenzerleb",7.6433042899046e-58
"128",17,"kompetenzerleb",2.0311737051495e-263
"129",18,"kompetenzerleb",1.31203540490733e-258
"130",19,"kompetenzerleb",8.56440387488779e-37
"131",20,"kompetenzerleb",3.11979812680921e-265
"132",21,"kompetenzerleb",4.05221468114082e-33
"133",22,"kompetenzerleb",7.53731902740169e-15
"134",23,"kompetenzerleb",1.00897811768506e-265
"135",24,"kompetenzerleb",6.11105018742217e-13
"136",25,"kompetenzerleb",6.2289497151061e-39
"137",26,"kompetenzerleb",7.17381239267508e-260
"138",27,"kompetenzerleb",7.93121781145139e-82
"139",28,"kompetenzerleb",1.03657066769372e-59
"140",29,"kompetenzerleb",7.20925026264777e-235
"141",30,"kompetenzerleb",2.74333334043402e-263
"142",31,"kompetenzerleb",0.00663640450977861
"143",32,"kompetenzerleb",4.81047193641923e-73
"144",33,"kompetenzerleb",6.43767634341742e-260
"145",34,"kompetenzerleb",9.73610688095833e-23
"146",35,"kompetenzerleb",2.25514111366717e-52
"147",36,"kompetenzerleb",3.46017557950046e-195
"148",37,"kompetenzerleb",1.01674998259845e-31
"149",1,"latent",1.45790506930857e-252
